"Sikkens ON-00-90 ","on-00-90","#f1efec"
"Sikkens V9-26-39","v9-26-39","#73649c"
"Sikkens V9-26-33","v9-26-33","#655588"
"Sikkens W0-05-75","w0-05-75","#d2cadb"
"Sikkens W0-08-71","w0-08-71","#c9bfd6"
"Sikkens W0-10-70","w0-10-70","#c4bad6"
"Sikkens W0-20-60","w0-20-60","#ac9cc9"
"Sikkens W0-25-50","w0-25-50","#9380ba"
"Sikkens W0-25-40","w0-25-40","#7a67a0"
"Sikkens W0-30-40","w0-30-40","#7866a5"
"Sikkens W0-30-30","w0-30-30","#65548d"
"Sikkens W1-03-81","w1-03-81","#e3dce7"
"Sikkens W0-07-77","w0-07-77","#d5cde1"
"Sikkens W0-15-65","w0-15-65","#b7a9d1"
"Sikkens W0-15-55","w0-15-55","#9b8eb4"
"Sikkens W0-15-45","w0-15-45","#837899"
"Sikkens W0-20-50","w0-20-50","#9381b3"
"Sikkens W0-20-40","w0-20-40","#776996"
"Sikkens W0-20-30","w0-20-30","#5d5174"
"Sikkens WN-02-82","wn-02-82","#e6e1e8"
"Sikkens WN-02-77","wn-02-77","#d4cfd4"
"Sikkens W0-05-70","w0-05-70","#cdc5d3"
"Sikkens W0-10-60","w0-10-60","#ada1bb"
"Sikkens W0-10-50","w0-10-50","#8d889f"
"Sikkens W0-10-40","w0-10-40","#766d81"
"Sikkens W0-10-30","w0-10-30","#5d566a"
"Sikkens W0-10-20","w0-10-20","#393546"
"Sikkens W0-03-84","w0-03-84","#e7dfe5"
"Sikkens W0-04-78","w0-04-78","#d9d4df"
"Sikkens W0-05-65","w0-05-65","#b3afbb"
"Sikkens W0-05-55","w0-05-55","#9a94a2"
"Sikkens W0-05-45","w0-05-45","#817b87"
"Sikkens W0-05-35","w0-05-35","#68636d"
"Sikkens W0-05-25","w0-05-25","#514d58"
"Sikkens W0-05-15","w0-05-15","#3a373e"
"Sikkens XN-01-83","xn-01-83","#eae4e6"
"Sikkens W6-05-72","w6-05-72","#d0c4d2"
"Sikkens W8-05-63","w8-05-63","#b5aab9"
"Sikkens W6-07-53","w6-07-53","#998ea0"
"Sikkens W7-07-44","w7-07-44","#827788"
"Sikkens W7-07-34","w7-07-34","#6a606f"
"Sikkens W7-08-24","w7-08-24","#524957"
"Sikkens X0-08-15","x0-08-15","#403742"
"Sikkens XN-01-84","xn-01-84","#eae3e3"
"Sikkens X0-04-80","x0-04-80","#e1d5de"
"Sikkens X0-10-70","x0-10-70","#cfbad4"
"Sikkens X0-10-60","x0-10-60","#b39db8"
"Sikkens X0-10-50","x0-10-50","#96829b"
"Sikkens X0-10-40","x0-10-40","#7c6a80"
"Sikkens X0-10-30","x0-10-30","#615164"
"Sikkens X0-10-20","x0-10-20","#453b4d"
"Sikkens ZN-01-83","zn-01-83","#ede7e6"
"Sikkens X6-04-76","x6-04-76","#dccdd9"
"Sikkens X7-07-69","x7-07-69","#ccb6c7"
"Sikkens X7-13-58","x7-13-58","#b896b3"
"Sikkens X0-15-50","x0-15-50","#9e82a7"
"Sikkens X0-20-50","x0-20-50","#9e7dac"
"Sikkens X0-20-40","x0-20-40","#83658d"
"Sikkens X0-20-30","x0-20-30","#694e70"
"Sikkens X9-04-79","x9-04-79","#e6d7e0"
"Sikkens X9-06-79","x9-06-79","#ecd4e5"
"Sikkens X9-11-74","x9-11-74","#e6c3dd"
"Sikkens X7-16-66","x7-16-66","#d3a5cd"
"Sikkens X7-18-54","x7-18-54","#b385ad"
"Sikkens X9-21-44","x9-21-44","#9d6a94"
"Sikkens X9-24-33","x9-24-33","#804d76"
"Sikkens Y0-30-18","y0-30-18","#5b3059"
"Sikkens YN-01-83","yn-01-83","#ece5e6"
"Sikkens YN-02-82","yn-02-82","#eadee1"
"Sikkens Y1-08-73","y1-08-73","#dec2d5"
"Sikkens Y0-12-63","y0-12-63","#c8a3bf"
"Sikkens Y0-20-50","y0-20-50","#aa7aa1"
"Sikkens Y0-20-40","y0-20-40","#8b5f85"
"Sikkens Y0-20-30","y0-20-30","#6c4665"
"Sikkens Y0-20-20","y0-20-20","#5b3a56"
"Sikkens YN-02-77","yn-02-77","#d8ced1"
"Sikkens Y0-05-72","y0-05-72","#d3c1c8"
"Sikkens Y0-10-70","y0-10-70","#d6b5cd"
"Sikkens Y0-10-60","y0-10-60","#bc9bb3"
"Sikkens Y0-10-50","y0-10-50","#9e8298"
"Sikkens Y0-10-40","y0-10-40","#81697c"
"Sikkens Y0-10-30","y0-10-30","#614e5d"
"Sikkens Y0-10-20","y0-10-20","#4a3c49"
"Sikkens ZN-01-85","zn-01-85","#eee6e7"
"Sikkens Z2-06-81","z2-06-81","#efd1d9"
"Sikkens Z1-10-70","z1-10-70","#deb4c6"
"Sikkens Z0-10-60","z0-10-60","#bc9ba9"
"Sikkens Z0-10-50","z0-10-50","#9f7f8e"
"Sikkens Z0-10-40","z0-10-40","#876a76"
"Sikkens Z0-10-30","z0-10-30","#6b525d"
"Sikkens Z0-05-20","z0-05-20","#484044"
"Sikkens Z8-05-81","z8-05-81","#eacfd2"
"Sikkens Z1-10-80","z1-10-80","#fccfe2"
"Sikkens Z1-14-71","z1-14-71","#ebb2cb"
"Sikkens Z0-20-60","z0-20-60","#d38bae"
"Sikkens Z0-20-50","z0-20-50","#b07994"
"Sikkens Z0-20-40","z0-20-40","#955c7a"
"Sikkens Z0-20-30","z0-20-30","#784761"
"Sikkens Z0-19-20","z0-19-20","#5d3a4e"
"Sikkens Z9-10-77","z9-10-77","#efbfc8"
"Sikkens Z4-09-76","z4-09-76","#ecbecd"
"Sikkens Z6-23-60","z6-23-60","#e080a0"
"Sikkens Z5-31-48","z5-31-48","#c3618c"
"Sikkens Z3-37-43","z3-37-43","#bf5184"
"Sikkens Z9-35-38","z9-35-38","#af4a6e"
"Sikkens Z2-32-33","z2-32-33","#98456b"
"Sikkens Z0-30-30","z0-30-30","#854167"
"Sikkens Z8-11-75","z8-11-75","#f3c2cf"
"Sikkens Z9-16-68","z9-16-68","#eba7ba"
"Sikkens Z8-18-63","z8-18-63","#e297ad"
"Sikkens Z8-23-57","z8-23-57","#d7819d"
"Sikkens Z9-32-49","z9-32-49","#d16388"
"Sikkens Z9-30-35","z9-30-35","#9f4664"
"Sikkens Z8-23-27","z8-23-27","#794154"
"Sikkens Z3-23-24","z3-23-24","#6c364d"
